Comp.1,Comp.2,DPH,Temperature,SL,Cluster
-0.8566264395513971,-0.1430313880739053,20,24,4.668,1
0.10359279039624274,0.06650498555180108,20,24,5.974,2
0.46795670572184705,0.2772276341111083,20,24,6.342,2
0.3908221717409716,0.17866473024838878,20,24,6.337,2
0.9951606097990245,0.252757249540372,20,24,7.084,2
1.1679632284124735,0.20363989650980835,20,24,7.397,2
-0.22451255166951495,0.018066777242586127,20,24,5.543,2
0.056836115196826895,0.029175077600044345,20,24,5.828,2
0.1376297697683306,0.11874406852249235,20,24,5.906,2
-0.07751841435337635,0.11149362410587789,20,24,5.535,2
0.8542745149084404,0.18671309202354952,20,24,6.851,2
0.10557100616717552,0.23691641372001185,20,24,5.713,2
0.47066447179686055,0.20662304842549203,20,24,6.336,2
0.5515989628915878,0.22747020828488307,20,24,6.495,2
0.6001271186018102,0.22429531488877777,20,24,6.58,2
0.5784017210646919,0.20661750445590946,20,24,6.715,2
-0.134516862006132,0.14579216543180182,20,24,5.676,2
-0.10130861962956243,0.09094521656291027,20,24,5.514,2
0.13488324071924107,0.2556994764213359,20,24,5.862,2
-0.0043880749747778995,0.13440788176806978,20,24,5.767,2
-0.6255002767702271,0.025957164410974096,20,24,5.045,1
-0.7736018932236942,0.205713985077339,20,24,4.961,1
-0.27103300367092364,0.12755227669669947,20,24,5.521,2
-0.62474658767458,0.20075468081995362,20,24,5.06,1
-0.5672504980868066,0.09250044305747031,20,24,5.061,1
0.264149584315266,0.17968088941519555,20,24,6.045,2
0.02909689314423814,0.3197737831439836,20,24,5.714,2
0.593933948428484,0.2664384147467698,20,24,6.585,2
0.07428895433644934,0.33142126531240135,20,24,5.849,2
0.08689142913628907,0.12503662425945633,20,24,5.728,2
1.2340102480981812,0.30563077082785556,20,24,7.358,2
0.6781260929393429,0.2737100091393032,20,24,6.701,2
0.8516674872884189,0.15859938662975553,20,24,6.911,2
-0.6790961091752695,0.02740693505867288,20,24,4.929,1
0.45269630942458783,0.43822760450689435,20,24,6.482,2
0.1748464169055442,0.3064453293321109,20,24,5.962,2
-0.49191374969459106,6.864959805031117e-4,20,24,5.252,1
-0.02851241940287975,0.1640259635001596,20,24,5.529,2
-0.46196802718486907,0.07173296850144613,20,24,5.147,1
-0.29998600611057624,0.20203023467810402,20,24,5.502,2
0.3873799765710859,0.1689220292913995,20,24,6.278,2
0.7568658478810668,-0.0025034941649457686,20,24,6.646,2
-0.025543945172918782,-0.0031830215308530437,20,24,5.588,2
-0.32221055587691566,0.07685161123990154,20,24,5.114,2
-0.7059536467603693,-0.03800111099546679,20,24,4.702,1
-0.409093826802657,0.039398983638352786,20,24,5.216,1
0.4987308238702985,0.44058736742832955,24,24,6.272,2
0.23339027303258725,0.4852527904217086,24,24,5.888,2
0.31380125968666733,0.4007903309590491,24,24,6.227,2
1.4136653731948539,0.31641193466938,24,24,7.149,2
0.6230813738786567,0.2534461608538778,24,24,6.064,2
2.1200463671997745,0.5222825043524273,24,24,8.545,2
1.665721953571012,0.4941080795440169,24,24,8.141,2
0.46703840567482857,0.2029964395574451,24,24,6.069,2
0.2768279362085406,0.43082032142887583,24,24,5.893,2
0.4444782709399366,0.1679120267905604,24,24,6.102,2
2.2263370450951063,0.07593712524252975,24,24,8.362,2
1.7396659606926803,0.13406464566362963,24,24,7.949,2
2.5685008158144664,-0.16424957109309046,24,24,8.846,2
2.9475943414300088,-0.09461884660658429,24,24,9.436,2
4.672994731585396,-0.6745474067455122,24,24,11.35,3
4.438732575928931,-0.24500014004146897,24,24,11.083,3
3.0223255170059735,0.046265862207974275,24,24,9.448,2
3.8684074655110887,-0.21590944591210656,24,24,10.472,3
3.061385874395602,0.18700745929231508,24,24,9.312,2
3.111401887655074,0.5018548118973749,24,24,9.727,2
1.2203541836926652,0.4532801831996229,24,24,7.646,2
3.0109514561758157,0.21613662859508684,24,24,9.794,2
2.2986572789362536,0.33446909807742364,24,24,8.642,2
0.3138491224677031,0.3701841751236071,24,24,6.073,2
1.7296885626741336,0.6338031430911059,24,24,8.285,2
1.7311968585456634,0.263095819715708,24,24,8.122,2
1.3165620925995225,0.12664793519646425,24,24,7.524,2
1.384233543119785,0.31245712996149794,24,24,7.679,2
1.2234168041923001,0.4766834789348839,24,24,7.558,2
2.5481290264625973,0.27729837643090643,24,24,9.322,2
3.021165843227929,-0.22500512034062736,24,24,9.365,2
3.4987087166961657,-0.30962859592315806,24,24,9.894,3
2.8302538163296593,0.199104980962626,24,24,9.276,2
5.312686524523978,-0.8656221645397881,24,24,12.54,3
3.819884829697621,0.10726509461491904,24,24,10.39,3
3.749332973130287,0.14563195690669017,24,24,10.577,3
4.793102700582917,-0.7490860920765855,24,24,11.827,3
2.2459213967087175,0.29039655834496236,24,24,8.703,2
